Artist,Description,Title,user_tags,Ivan Cluster 1,Ivan Cluster 2,Ivan Cluster 3,Vincent Cluster 1,Vincent Cluster 2,Vincent Cluster 3,Marie Cluster 1,Marie Cluster 2,Marie Cluster 3,Kathleen Cluster 1,Kathleen Cluster 2,Kathleen Cluster 3
Shaun Gladwell,"Storm Sequence is a deceptively simple work. It depicts the solitary action of a skateboarder – the artist, Shaun Gladwell – freestyling on the edge of a concrete drop at Sydney’s Bondi Beach. The camera hardly moves and concentrates only on the skateboarder’s movements. Gladwell – a skillful freestyle skateboarder – pirouettes and spins within a contained space. Incorporating an organic, liquid-like soundtrack by Sydney composer Kazumichi Grime, the footage is slowed down. Movement which in real time would have a jerky rhythm becomes graceful, emphasising the relationship between the skater and the environment. As a storm approaches on the horizon, Gladwell skates while the sky turns black and the rain becomes too heavy for him to continue. The strange, poetic intervention of the natural world, combined with the well-known nature of the place where it is performed, creates a compelling and mesmeric work.

Gladwell often portrays isolated figures, undertaking choreographed acts like skateboarding or breakdancing, within urban and natural sites. His work articulates a relationship between the performer’s body and its immediate environment through slowed motion, often redefining the prescribed function of objects and spaces.",Storm Sequence,"temporality, movement, environment, choreography, poesis, nature, skateboarding",Body,Time,Environmental,Body,Land,Environmental,Body,Environmental,Time,Environmental,Land,Time
Christian Thomson,"Christian Thompson’s Gamu Mambu (Blood Song) is a single-channel video featuring a baroque opera singer performing a traditional Bidjara song. Thompson is a Bidjara man of the Kunja nation from Central West Queensland who references his Indigenous Australian and European heritage to engage with broader ideas regarding cultural identity. The complex multi-syllabic language sung in the overwrought and heavily cultured baroque style is unexpected, but also strangely mesmerising and enthralling. The Dutch performer sings straight to the camera against a coloured backdrop, evoking the simplicity of early performance video art from the 1970s. The translation of the lyrics into English at the bottom of the screen reveals a story that is simple but direct.

The minimal style of the video highlights the incongruity between the singer’s operatic performance, the complexity of the Bidjara language and the song’s bold narrative. The disjunction between the narrative and performance of the song confuses our understanding and comprehension of what it is we are seeing. Despite, or because of, the incongruity, the performance resonates emotionally. The power of Gamu Mambu (Blood Song) lies simply in the different interpretations of the song through performance and text. It is language taken from one source, reinterpreted and presented in a different context. It is also an affirmation of the power of the voice, a reminder that performance and song are powerful tools in communicating and understanding human culture.",Gamu Mambu (Blood Song),"Cultural Identity, Indigenous, incongruity, interpretation, language, communication, song",Language,Identity,Culture,Emotion,Colonization,Arts,Culture,Identity,Language,Language,Identity,Culture
Gulumbu Yunupingu,"Gulumbu Yunupingu’s vision of the night sky is one of light rather than dark. ‘My story is of the universe’, she has explained. ‘These stars are for us to see if we wish, wherever we are.’1

Yunupingu’s painting practice honours her two major influences: her father and her mother. In artworks by her father, the renowned Gumatj painter Mungurruway Yunupingu, the cruciform structure of Yunupingu’s stars is evident. He was also influential in her overall approach to subject: ‘I found the story of the constellations from the sacred songs my father used to sing. We grew up listening to him sing about them. Every day at dawn he would sing until the sun came up.’ And it was with her mother, a Galpu woman named Makurrngu, that she imagined the ‘seeing-eye’ dots that mark the middle of her stars. One night while camping Gulumbu awoke thinking it was raining, but her mother reassured her it wasn’t and said that maybe the stars were crying.

In Gan'yu – stars Yunupingu’s treasury of stars adorns a funeral pole, representing the role of the night sky in the afterlife. ‘Memorial poles are the ones of dead people’, Yunupingu explained. ‘We don’t know what the spirit is and where it goes. Maybe up to the sky.’

Yunupingu weaves with light, the crossed arms of her stars knitting together the rich tapestry that envelops her barks and hollow logs. The effect is buoyant, a proclamation of hope. Her constellations are a ‘metaphor for our universal humanity, the people of the past, present and future … a message of peace and unity’",Gan'yu - stars,"Stars, cosmology, family, spirit, tradition, ceremony",Spirituality,Familial,Culture,Familial,Spirituality,Space,Community,History,Mind,Familial,Space,Spirituality
Ah Xian,"This porcelain bust is the eighty-first in a series by Ah Xian, a Chinese-born artist who migrated to Australia in the late 1980s.  Each bust in the series is cast from a live model – either Ah Xian’s family members or friends – and each is finished in a different hand-painted and glazed decoration.  The cobalt-blue landscape of clouds, trees and pagodas that imprints China, China – Bust 81 is based on a traditional Chinese porcelain design, perfected in the highly specialised workshops and kilns of Jingdezhen in central China during the Ming and Qing dynasties.  For centuries, Jingdezhen was the centre of China’s global export of porcelain, a powerhouse of artisanal techniques and processes that were unrivalled anywhere else in the world. After the communist revolution in 1949 and the cultural revolution of the 1960s, agriculture and industrialisation were prioritised over traditional artisanal processes. Some of the workshops in Jingdezhen were reoriented to the production of statues and busts of Chairman Mao, and a social realist style prevailed over traditional patterns.

Ah Xian’s use of these once-threatened skills was in an effort to revive them, and in protest against state suppression of creativity and the devaluation of traditional Chinese culture. Following the methods of conceptual art, he produces each bust by issuing a set of instructions to the master craftspeople who paint, glaze and fire them. Each bust is, then, a collaboration between the individual and the group, fusing time-honoured techniques with contemporary methods. Through this approach, and by casting from the bodies of ordinary people, Ah Xian democratizes the format of the bust, which has generally been reserved for the likenesses of political leaders and statesman. Each bust is individual yet anonymous, a face in the crowd distinguished not by their words or deeds but by their Chinese heritage, differentiated by styles of decoration that manifest the highly refined aesthetics and techniques of a prized Chinese cultural tradition and trade with the world.","China, China, Bust 81","Identity, bust, artisan, mass production, migration, culture, heritage",Economy,Identity,Culture,Identity,Economy,Materiality,History,Power,Economy,Materiality,Culture,Identity
Khaled Sabsabi,"In Naqshbandi Greenacre Engagement, Khaled Sabsabi invites us to join the Naqshbandi Sufi Order of Australia in their devotions. The Naqshbandi Sufi Muslims are mystics who believe that one’s journey in life is the path of return to God. Sabsabi’s project presents us with a rare and privileged view into the spiritual and communal gatherings of members of the Greenacre order in western Sydney. Sabsabi has recorded continuous footage of one of their weekly gatherings in a Greenacre scout hall, which he screens on three monitors placed on the gallery floor. In front of the monitors is a carpet and low table, where viewers are invited to sit and engage with the experience they see before them – Sufi Muslims practising the devotional act of Zkir, in which prayers are chanted aloud.

The view provided by the static camera is of a nondescript room, enlivened by the presence of adults and children who sit on the floor and chant together to the beat of a tar, an Arabic drum. Toddlers wander from one person to the next and lie in the laps of their seated parents. Plastic folders with the words of the chants, of which one is presented on the low table of the installation, are passed around, from which people recite aloud or silently. The natural and unaffected interactions of the devotees in the ordinary space they occupy underscores their purposeful gathering, in which spirituality and transcendence are enacted through a communion of souls. The Naqshbandi Sufis, who come from a variety of cultural backgrounds, invited the artist into their ceremonial setting, allowing him (and us as his audience) to witness a room that eloquently explores the subtle social realities of shared spirituality, within the context of an everyday, suburban, Australian existence.",Naqshbandi Greenacre Engagement,"Islam, prayer, gathering, community, family, suburban, Australia",Spirituality,Community,Familial,Spirituality,Community,Culture,Spirituality,Community,Time,Community,Spirituality,Familial
Justene Williams,"Crutch Dance is part of a cycle of work by Justene Williams that pushes lens-based imagery into painterly, performance and sculptural realms. This work relates closely to a group of moving-image works in which Williams creates overwhelming environments constructed from detritus, photographs and suburban props. In the case of Crutch Dance, Williams has used a salvaged treadmill. The bizarre environments that the artist makes become the stage for increasingly odd actions built around repetitive, collaged movements – running, dancing, ducking and weaving like a punch-drunk three-dimensional painting. Here, a futurist figure vainly does battle with the treadmill, jerking with movement akin to a futurist or cubist dance and invoking Umberto Boccioni’s famous sculpture Unique Forms of Continuity in Space (1913).

This delirious choreography in its fabulist setting has the aura of voodoo, with the artist channelling a period from art history in an effort to reconstruct the essence of forgotten images. Through the physical collaging of materials to construct her complex sets and costumes, and the digital collaging and editing of video, Williams invokes the ghosts of artists past. The work itself has a sculptural presence – it is displayed on teetering accumulations of television monitors, placed on top of hastily painted wooden pallets. The monitors remind us of their own obsolescence – they are big, bulky, black boxes that are disappearing fast – as opposed to stylish, thin plasma screens. Williams’ embrace of both high and low art, history and salvage, painting and video, results in a hypnotic new form of recycling – a curiously ‘carbon neutral’ method of image production.",Crutch Dance,"Saturated, environment, movement, frenetic, art history, detritus,",Fantasy,Materiality,Arts,Fantasy,Culture,Materiality,Culture,Mass media,Fantasy,Environmental,Technology,Physics
Vernon Ah Kee,"Vernon Ah Kee’s text-based video work Whitefellanormalblackfellame engages the viewer in a confrontational relationship with the artist. Originally commissioned by SBS Television and the Australian Centre for Moving Image, the video is the first of the artist’s moving-image artworks. It uses an economy of means – simple ‘universal’ black-and-white font, and sharp editing between a portrait of the artist and flashing text – to critique the position of an Indigenous person within contemporary social and cultural life. The video incorporates a number of performative elements that create an immediate relationship with the viewer, including the barrage of text, the stance of the artist, the repetition of words such as ‘fella’, the use of space, the disjuncture between the audio and the written text, and the act of reading and understanding. Additionally, the fast pacing of the text and audio creates a sense of action and urgency. The viewer completes the work through participation in the form of reading and listening, taking an active role in the work’s success or failure.",Whitefellanormalblackfellame,"indigeneity, confrontation, race politics, language, culture",,,,,,,,,,,,
Mabel Anaka-anaburra,"Mabel Anaka-anaburra was a fibre artist from Maningrida, central Arnhem Land, Northern Territory. Her bamagora, or conical mat, is woven from the leaves of the Pandanus (Pandanus Spiralis) plant, which grows near the water courses and coast line of Maningrida, halfway between Darwin and the Gove Peninsula. Made by women at Maningrida Art Centre, these traditional mats are used for a variety of purposes ranging from the utilitarian to the ceremonial. Conical mats serve many roles. In their flattened form, they can be used to sleep on or for women’s business, thus bamagora have a particular relationship to female experience and the cycles of life. As an upright cone, bamagora are regularly used to shield sleeping babies from mosquitos and flies, and to cover sacred objects of ritual significance. Weaving is an important industry in community, and is used to make fish traps, nets, baskets and dilly bags. Family groups will strip young leaves from the pandanus plant with a hooked stick, and boil them over the campfire with natural dyes made from the roots, bulbs, seeds and leaves of locally sourced plants. The coloured leaves are woven together in a circular pattern of coloured bands to form the conical mats. Bamagora are aesthetic objects as well as practical ones, expressing their makers’ colour and weaving-style preferences, and incorporating new practices through experimentation with plants and fibres to create variations in form, colour and texture.",Bamagora (conical pandanus palm mat),"Feminity, Aboriginal, culture, sacred, weaving, tradition, ",,,,,,,,,,,,
James Angus,"James Angus’ large Manta Ray sits balanced and motionless on a small plinth within the gallery space. The artist chose this creature for its complex associations, as it is simultaneously familiar and otherworldly, both gentle and intimidating, ancient and yet aerodynamic in shape. The sculptural form is anatomically correct, selected from a moment in underwater film footage that captured the beautiful downward thrust of the fins. The process of recreation involved translation by an industrial designer from the living organism to its virtual description in software. The data was then sent to a computer controlled milling machine where it was carved in solid foam like an industrial prototype, and subsequently cast in fiberglass. The final object is matte white and perfectly smooth, its shape demonstrating the forces of hydrodynamics, as though merged with modern design. This creature of natural history appears to have as much in common with futuristic spacecraft as with evolutionary biology.

The translation of animate to inanimate, and of movement to stillness is central to the long history of sculpture. In this case the immaculate surface of the constructed ray is at odds with the wet and slippery living organism, its dark hued top, mottled edges and pale underside. Angus frequently works with familiar forms, yet disturbs them to unsettle the viewer’s sense of reality. He has said that he was hoping that Manta Ray would appear “simultaneously alive and deathly”, conveying the disquieting underside of technology, digital effects and media. The fact that many rays including the Giant Manta Ray and Giant Devil Ray are now vulnerable or endangered raises another association with the still form.",Manta Ray,"Nature, artifice, tension, technology, digital media, design",,,,,,,,,,,,
James Angus,"Dom-ino Colour Separation is one of a series of sculptures by James Angus taking the form of an architectural model. It plays with the modernist architect Le Corbusier’s Maison Dom-Ino, a 1915 prototype for cheap, modular housing that could be constructed in a row, like dominoes. Angus has re-modelled this utopian vision of housing in planes of coloured Plexiglass that overhang each other, unlike the aligned edges of the house’s original design. Angus also introduces a colour separation between the misaligned levels, creating an effect akin to a newsprint error when the three colours separate and the image slips out of register. Through such spatial and chromatic disruptions, Angus invites viewers to see the world about them in new and imaginative ways.

Angus explores the tensions between the modelled idea and the built form and between the ‘colour-separated’ image and the object in this sculpture. His practice is one that questions traditional notions and forms of sculpture by playing with surface, scale and volume. His work ranges from the modest to the gigantic, revealing his ongoing interest in materials and processes. Inspired by aspects of design, architecture and nature, Angus often duplicates existing objects and then distorts them in some way: by exposing them to physical forces such as extreme speed, by turning them inside out, or, as we see in Dom-Ino Colour Separation, by a slight slippage which may be commonplace in a newspaper, but which deranges the clean lines and precision of modernist architecture.",Dom-ino Colour Separation,,,,,,,,,,,,,
James Angus,"In this sculpture, James Angus presents a bicycle as an aesthetic object; a geometry of circles, diagonals and straight lines in a design of pure and precise functionalism. Only the essential elements of bicycle design are present here – there are no mudguards, panniers, lights or bells to distract from its elegant engineering. The design of this bicycle is one that has remained relatively unchanged since its invention more than 100 years ago, when the upright safety bicycle superseded the penny-farthing. The classic frame of Angus’ sculpture is of the same kind as the British Raleigh Roadster, the Chinese Flying Pigeon and the Dutch Opafiets – objects of mass-production and transportation that have been integral to ways of life and culture for decades.

For this handcrafted sculpture, Angus melded the frames of three bicycles into one, creating a kind of platonic ideal of bike design which resolves slight differences in thickness of truss, angles of frame and fork, shape of saddle and handlebar position into an ideal form – one that seems to shift between the plural and the singular. Traces of all three bikes inhabit this final rendition, with its tripled wheel spokes and chain drive, contoured saddle and ridged handlebars.

Hovering between three sets of dimensions and proportions, the sculpture presents a visual experience akin to looking at lenticular imagery or to a stereoscopic gaze, in which two sets of slightly disparate visual information are resolved into the one three-dimensional image. These subtle differences, inhabiting the one object, speak of the slight variations between not only bikes but individual riders, for whom the bike is an extension of their body shape, size and movement. In keeping with his other works, which have distorted, shifted and played with elements of design from architecture to automobiles, Angus disrupts our expectations of an everyday object. By making us look again he reminds us that a bicycle, like a racing car, is a moving sculpture.",Bicycles,,,,,,,,,,,,,
Howard Arkley,"The ‘well situated’ home that Howard Arkley depicts is typical of those found in post-war suburbs all over Australia. Houses such as these, built in spacious garden suburbs far from crowded inner-city terraces, were the dream of a generation of Australians who had survived the hardships and deprivation of the depression and war. Sited on blocks with enough room for a garage and garden, bungalows like these were a local version of the clean lines and pure aesthetic of the International Style of modernism. They were adapted to Australian tastes and needs; with coloured fibro sheeting and red tiled roofs that came to define a particularly modern Australian landscape, often equated with monotonous conservatism. This was the environment in which Arkley grew up, and to which he returned, in paint, after a period of working in a more abstract style.

In its use of strong fluoro colour and thick black line, Arkley’s interpretation of suburbia is filtered though an intriguing combination of the formalist abstraction of 1920s De Stijl and the everyday modernism of 1960s pop art. Line, pattern and geometry are emphasised in his two-dimensional treatment of paving, windows, walls and roof lines, which flatten the picture plane without entirely eliminating perspective. The lurid colour scheme, applied using a brush and airbrush, pulses with a febrile energy that contradicts the popular perception of the suburbs as boring expanses of conformity.

Arkley’s airbrush technique, meticulously executed, imparts a mechanical, detached quality. The image looks like a reproduction of an original painting, rendered through a printing process that drops out detail and tonal variation. The soft focus of air brushing gives the image an impersonal and mass-produced, but oddly dreamlike, appearance. The house depicted is familiar in its form, yet unfamiliar in its affect – a strangeness lurks not only in its abstracted architecture but its shuttered windows and empty yard. Arkley pictures this uniquely Australian landscape through a melding of modernisms – a combination of hard-edge and colour field abstraction with pop art’s focus on mainstream culture that results in an expressionist and almost surreal treatment of the ordinary and the everyday.",Well Situated Home,,,,,,,,,,,,,
Hany Armanious,"Second hand political is an exercise in artifice in which various materials take on the form of other materials: wood imitates fire and bread, and ceramic imitates wood. This major installation muses on the nature of sculpture-in-the-round and its roles and limits – for instance, the plinths on which the objects stand are a part of the work, not just a display device.

Some of the curious objects displayed on the wooden plinths are blocks of wood, which, when placed in bread bags, look just like bread. The plastic bags, with their pictures of log cabins and Schwarzwalder forests, once held wholesome varieties of German rye, oat bran and cottage-baked loaves. Now, those same pictures advertise wooden loaves – blocks of lumber hewn to the same shape and size as loaves of bread, and chosen for their colour match to rye, black or white bread. This mimicry of the ‘staff of life’ sets up a playful oscillation between the many forms and ideas of wood displayed in the installation – the finely worked pine of the plinths, a rough-hewn block which stands unbagged, the twigs and bark of a static campfire, the references to logs and forests in the bread-bag designs, and the replication of oak barrels in ceramic drinking mugs.

This masquerade of one material for another is an amusing reflection on not just the various natural and manmade manifestations of one material, but also on its transformation into cultural objects, images and meanings – into the realm of representation. Armanious effects a similar transmutation here, metamorphosing a block of wood into a loaf of bread, and to all its secondary associations with warmth, fire, baking and homeliness.",Second Hand Political,,,,,,,,,,,,,
Hany Armanious,"The coupling of transparent drinking glasses with the opaque cast forms of their interiors in Untitled Snake Oil is more than a colourful lesson in the properties of volume, or positive and negative space. It also expresses Hany Armanious’ deep interest in the alchemical transformation of materials and his obsession with casting copies of everyday objects, transforming them from the mundane to the marvellous.

In this work Armanious has used household glasses as the moulds in which to pour brightly coloured ‘hot melt’, or synthetic polymer resin. The resulting shapes have then been placed onto the upturned glasses, the glasses acting as a plinth for each object. When placed together in this way a new shape is created, in which the translucent base and solid top echo each other. Something ordinary has been made unfamiliar and magical. This work foregrounds the negative space of the differently shaped glasses by exploring the relationship between the sculpture and the mould, something that is usually discarded in the casting process. The glass plinth is given more status than is usually the case within traditional sculpting practice, becoming a vital element of the whole work. Utterly simple yet fastidious in execution, Untitled Snake Oil implies all the childish delight in turning out jellies from moulds and sand from buckets, conveying our sense of wonder in seeing the emptiness and fullness, positive and negative, inside and outside of the same object in proximity to itself.",Untitled (snake oil),,,,,,,,,,,,,
Benjamin Armstrong,"This work is one of a series of six relief prints, which obliquely refer to Armstrong’s sculptural works in their suggestions of glass containers and vessels, and their strange associations with organic forms. Armstrong’s sculptures are evocative installations of hand-blown glass forms and organic wax objects that suggest bodies, orifices and limbs without making overt or literal references. Surreal in appearance, their rounded and elongated forms invite playful associations with the human body that are enhanced by the flesh-like colouration of the wax. In conjunction with the transparency and fragility of the glass bottles, cones and bubbles he blows with a team of people, Armstrong’s sculptures conjure the elemental possibilities of fire, air, heat and breath and the transmogrifications of materials that melt, ooze or harden as they heat and cool.

In their abstracted references to inter-penetrating beakers distilling their contents into each other in Two, and the pulsing orifice of warty growths in Untitled, Armstrong’s prints draw on the transformations of matter suggested in his sculptures. Armstrong takes an unorthodox and sensual approach to printmaking, carving into the lino and then smothering the plate in squelching inks printed on wet paper. Using the carved line of the lino-print, Armstrong conjures not only the strange look of things, but their strange feel as well; a feeling we recognise deeper in the flesh than on the surface. The uncanny forms and shapes that result in this series of six prints are abstract yet familiar – biomorphic assemblages that suggest bodily functions, orifices and organs that interpenetrate, oscillate, swell and throb.",Untitled II,,,,,,,,,,,,,
Barbara Cleveland,"The dual-screen video What do I do? shows four artists dressed in dramatic yet makeshift fashion, wearing costumes that draw on the traditions of pantomime, dunce and magician. On one screen each take turns standing alone, blindfolded and vulnerable as pelted with tomatoes. They wait helplessly, unable to anticipate the direction of the next missile nor to protect themselves from it, overlaid with the soundtrack of tomatoes hitting their target. On another screen they stand stationary as a group as though posing or immobilised by stage fright against a theatrical red stage curtain while their chorus of female voices repeatedly ask, “What do I do? What do I say?”

The four artists in Barbara Cleveland (formerly Brown Council) developed a collaborative and performative art practice that bridges gallery and stage and draws on the historical lineages of both visual and performing arts. What do I do? belongs to a series of inter-related works that use the genre of comedy. Yet the date of the work included in the title also alludes to art historical tradition, as the artists re-enact two performances from the early 1970s by New York poet, performance and video artist Vito Acconci. Acconci privately filmed performances between 1969 and 1974 that obsessively contemplated his own body and consistently explored the dynamics of intimacy, trust and power, transgressing the boundaries between public and private, audience and performer. In What do I do? Diana Smith, Frances Barrett, Kate Blackmore and Kelly Doley perform together and also alone, reflecting on the process of collaboration and on individual practice. Through this work they satirise themselves in relation to the performance ‘greats’ and enact their own performance anxiety.",What do I do?,,,,,,,,,,,,,
Paddy Bedford,"Camel Gap, by the senior Gija artist and lawman Paddy Bedford, is a story from the artist’s mother’s country that illustrates the shared recent history of Gija and non-Aboriginal people. To Gija people Camel Gap is also known as Gernawarliyan. Its English name refers to the shape of the hill itself and also to the Afghan cameleers who travelled from the port at Wyndham South to remote Kimberley communities and further afield for trade. The site is located south of Martie’s Bore in the East Kimberley in the north of Western Australia. It is connected to an ngarranggarni (Dreamtime) story of the goanna Garndoowoolany who camped out there. Garndoowoolany called out to Marranyi, the dingo, who he saw at the top of the hill. It was here that Marranyi got stuck and became part of the rock.

Bedford painted with a deep sense of cultural responsibility, using stories from his father’s country, or his mother’s and uncle’s country. Camel Gap documents the development of his painting style, which is part of the highly recognisable ‘East Kimberley’ or ‘Turkey Creek’ style that emerged in the late 1970s inspired by the landscape, stories and colours of north Western Australia. Until the time of his passing in 2007, Bedford continued to experiment with form and pictorial convention, combining large expanses of colour and dotted edging more commonly seen in the rounded forms of early pioneers of the Turkey Creek painting style, such as Rover Thomas and Paddy Jaminji, and the fluid lines of Queenie McKenzie. Bedford explored the rich history of his country and the important stories that have mapped its past, painting the bones of the landscape with the waterholes, stockyards and roads that he traversed all his life.",Camel Gap,,,,,,,,,,,,,
Zanny Begg,"City of Ladies is a 20-minute non-linear film installation produced by Zanny Begg in collaboration with Paris-based Australian film director Elise McLeod. The work was inspired by the proto-feminist novel The Book of the City of Ladies (1402), by France’s first professional female writer Christine de Pizan, which imagines a utopian city built, populated and governed by women. Begg and McLeod draw on the structure and content of Pizan’s work in their filmic installation, which was developed with a group of young Parisian feminist and activist women from a variety of cultural backgrounds, as well as contributions by leading/pioneering feminists such as Hélène Cixous, Silvia Federici, Sam Bourcier, Fatima Ezzahra Benomar and Sharone Omankoy.

Through conversation and performance, the participants engage with the issues that concern them in Paris today – a city divided over responses to terrorism and home to the inspiring Nuit debout (Rise up at Night) protest movement for social justice. Aspects of Pizan’s book are used to convey elements of the women’s own stories, experiences and perspectives, highlighting not only the persistence of misogyny across time but also inspirational modes of resistance.

The non-linear form of the film is the result of a computer-generated re-sequencing of its more than 50 core sections or sequences. The software, created by programmer Andrew Nicholson, randomly selects a different combination of sections to play during each 20-minute screening of the work, thereby disrupting the narrative arc of more conventional linear films. Its constantly changing nature consistently generates new associations between the various narratives and participants, while emphasising an expansive sense of the film existing both within a specific time and place and resonating across history and locations",City of Ladies,,,,,,,,,,,,,
Richard Bell,"Richard Bell’s Embassy project has travelled the world since it was first mounted in Melbourne in 2013. The installation consists of a large military-style canvas tent surrounded by painted protest signs with slogans such ‘White Invaders You Are Living on Stolen Land’; ‘…Why! Preach Democracy’ and ‘…We Wuz Robbed’. A sign marks the tent as ‘Aboriginal Embassy’, and the public are invited to enter and watch a screening of Alessandro Cavadini’s film Ningla A-Na (1972). This historically significant documentary tells the story of Aboriginal activism in south-eastern Australia in the 1970s, establishing Embassy as a public space for imagining and articulating alternate futures and reflecting on, or retelling, stories of oppression and displacement. In Moscow, Perth, New York, Jakarta, Jerusalem and Sydney this discussion has taken different forms as it addresses local differences in race and politics through talks, performances, other screenings and workshops by performers, activists, artists and thinkers. Each version of the installation incorporates documentation and material from all its previous iterations, building an archive of solidarity and resistance that transcends national borders.

In Performa 15 in New York, for example, activists from Black Lives Matter, the Black Panthers and the Idle No More movement gathered to screen films, give lectures and discuss issues in a spirit of solidarity. At the Cairns Indigenous Art Fair (CIAF), local elders, activists, artists and community leaders discussed strategies of resistance. Bell’s installation is itself inspired by the first Aboriginal Tent Embassy, pitched on the grounds of Canberra’s Parliament House in 1972, by four young men demanding Aboriginal land rights. They were soon joined in their protest by many others, and the Tent Embassy still stands today as a testament to the battle for Indigenous rights and political representation in Australia. Bell’s Embassy can be considered a roving satellite of the original; a reminder of the audacity and tenacity of the original tent ambassadors and a continuation of their diplomacy in the field of Indigenous politics.",Aboriginal Embassy,,,,,,,,,,,,,
Gordon Bennett,"Gordon Bennett’s work Untitled (dismay, displace, disperse, dispirit, display, dismiss) uses word and image to explore language as a tool with which the colonisers of Australia subjugated the country’s original inhabitants. Viewing the work at the MCA, near the site of the landing of the First Fleet, gives it even greater resonance, showing as it does the process of displacement and dislocation that followed the arrival of the ships in Sydney Cove. 

Bennett has combined six key scenes in the process of colonisation – the arrival of the fleet, the raising of the Union Jack, the murder, imprisonment and demoralising of Aboriginal people – with stencilled words that stamp the brutality of that process. Using a palette that successively darkens from white to black, he tracks the dismay of Aboriginal people at the invasion of their land to their dismissal as inhabitants of it, using the visual and verbal language of oppression that was integral to the colonising process. To ‘dis’ something in English means not only to disrespect; when used as a prefix it reverses and undoes the meaning of the root word, and can thus “refer to negation, opposition, separation, or deprivation”.1 The repetition of ‘dis’ in each word in Untitled (dismay, displace, disperse, dispirit, display, dismiss) sets up a rhythm; a beat which marches in grim lockstep with each image to its termination in the empty black square of ‘dismiss’.",Untitled,,,,,,,,,,,,,
Liam Benson,"Participatory Community Embroidery: You and me comprises a sequined map of Australia, on semi-transparent organza, delineating Aboriginal language groups across the country. Each sequined cluster represents a different language on the map, which takes as its starting point the AIATSIS map of Indigenous Australia and the question ‘what is country?’ Benson expands, ‘The broader question I focused on was about ‘what does it mean to be living together in present-day Australia, with an understanding that we are also living on Aboriginal land?’’

The work is suspended from the gallery ceiling from a rod so that both sides – including the criss-cross stitching that holds all the sequins in place – are visible to its audience. Motivated by Benson’s contact with Darug Elder Kerrie Kenton within a WeAve workshop at Parramatta Artist Studios, it reflects his desire as a non-Indigenous person to learn about, and engage more deeply with the history and significance of sharing a homeland which has living connections to Aboriginal culture and community. He says, ‘I wanted to acknowledge the significance and impact of the many First Nation voices who are powerful advocates for creating awareness and sharing perspective, including elders, friends, colleagues, artists and academics, who have informed me throughout my life and artistic practice.’

Many hands have contributed to the work’s realisation, reflecting the diverse ethnic backgrounds of Australians today; and Benson acknowledges Wamba Wamba man Steven Lindsay Ross – who is also living in Western Sydney – as an early contributor and consistent guide through the process. The conversations shared during the creation of this work supported each participant in contribute their voice to an ongoing dialogue of contemporary Australian identity and how we define ourselves as a diverse, interconnected nation both now and into the future. ",Participatory Community Embroidery,,,,,,,,,,,,,
Liam Benson,"Participatory Community Embroidery, Untitled (flag) takes the form of a handmade Australian flag, adorned with a range of motifs (a shooting star, gay pride stripes, flowers) that have been stitched by many different people who come together through workshops organised by the artist. There is a liberating aspect to this communal process, Benson says, for new arrivals to Australia who bring with them a profound sense of culture and identity. Reflecting on notions of nationhood, participants in Benson’s project are invited to decide ‘what to change and what to keep’ in relation to the Australian flag, and to personalise their relationship to it. The idea of graffitiing onto the flag – but with beads and sequins – is also explored through Benson’s work. He says: ‘it represents an open conversation about what the flag, and being Australian, means to each of us – and most importantly, that we are all joint authors of the statement.’ It is suspended from a flag pole attached to the gallery wall, extending outwards into space and visible in three dimensions.

Originally working with performance and its documentation through photography and film, Benson has turned to embroidery itself for his most recent works, often engaging other individuals and groups in their realisation. For the first decade of his practice, he recalls, he sought to unpack his own identity as a queer, white male living in Western Sydney. In the second decade, he has moved towards a wider exploration of cultural identity – of ‘who we are’ – as individuals and a nation living in the present. Through the works, he concludes, ‘different cultures and subcultures speak to one another, as an act of solidarity’.",Participatory Community Embroidery,,,,,,,,,,,,,
Brian Blanchflower,"The five panels of Particle paradise (nuclear family) are painted in earthy tones of umber, ochre, grey and black. This purely abstract work is built up from layers of painted shapes and marks, each carefully applied to provide an underlying order to the work’s apparent randomness. Uniform circular shapes appear in regular lines, interspersed with explosive spirals and gestural marks, intersected at intervals by cascading diagonals. Like staring into the night sky, with its shooting stars, patterns of constellations and intimations of infinity, Particle paradise (nuclear family) is a meditation on the big questions of existence: of time, matter, space and our place within the cosmos.

The febrile energy of Particle paradise (nuclear family) suggests the constant movement of matter in which cells divide and atoms collide, whether within the realms of our own bodies or at the outer reaches of the galaxy. For Brian Blanchflower, painting involves merging inner experience with reactions to outer phenomena. It is about opening oneself to the unknown. This work is a meditation not only on the idea of matter but on the very materiality of painting. The tinted weave of the underlying canvas can be glimpsed between thick encrustations of paint, some of which incorporate the very matter of earth itself – lint and sand. The painting thus works as much on a tactile level as it does a visual one, creating a surface tension between two- and three-dimensionality that suggests the interweaving of the physical and metaphysical in our musings upon the nature of the universe and the state of being. The notion of infinite “magical transformations of worlds within worlds” continues to fascinate the artist.",Particle Paradise,,,,,,,,,,,,,
